id,kind,red,n,p,nodos,variante,repeticion,estado,T_Total,T_Dist,T_Scatter,T_Bcast,T_Summa,T_Calc,T_Gather,Checksum,WSum,Hash,Valido,pared_s,tx_mb_total,rx_mb_total,log,inicio,reparto,T_CalcMax,T_CalcMin,T_Reduce,Desbalance,Error,Pi
trapecio_Ethernet_100000000_96_4_asimetrico_1,trapecio,Ethernet,100000000,96,4,asimetrico,1,ok,0.001980,,,,,,,,,,,2.97,0.5511,0.4045,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_96_4_asimetrico_1.log,2026-09-25T08:29:50.067466-05:00,24 por nodo,0.001042,0.000872,0.001058,1.195,1.15e-14,3.14159265358978
matriz_Ethernet_7168_96_4_1d_1,matriz,Ethernet,7168,96,4,1d,1,ok,35.115897,33.379566,2.704564,31.052964,0.000000,2.073700,17.323293,120229724.49,6.032646e+12,,,39.3168,4118.9646,4112.954,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_7168_96_4_1d_1.log,2026-09-25T08:29:53.065175-05:00,24 por nodo,,,,,,
trapecio_Ethernet_100000000_96_4_simetrico_2,trapecio,Ethernet,100000000,96,4,simetrico,2,ok,0.005691,,,,,,,,,,,2.9719,0.3748,0.398,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_96_4_simetrico_2.log,2026-09-25T08:30:37.385571-05:00,24 por nodo,0.000993,0.000774,0.004848,1.283,2.04e-14,3.14159265358977
trapecio_Ethernet_100000000_24_1_asimetrico_2,trapecio,Ethernet,100000000,24,1,asimetrico,2,ok,0.006914,,,,,,,,,,,1.0126,0.2254,0.0179,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_24_1_asimetrico_2.log,2026-09-25T08:30:40.374805-05:00,24 por nodo,0.006903,0.003704,0.003087,1.863,2.18e-14,3.14159265358981
trapecio_Ethernet_100000000000_24_1_asimetrico_2,trapecio,Ethernet,100000000000,24,1,asimetrico,2,ok,5.152992,,,,,,,,,,,6.1969,0.6694,0.0562,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_24_1_asimetrico_2.log,2026-09-25T08:30:41.389663-05:00,24 por nodo,5.152890,3.692202,1.169727,1.396,4.82e-12,3.14159265359461
matriz_Ethernet_6144_96_4_1d_2,matriz,Ethernet,6144,96,4,1d,2,ok,25.321883,24.207406,1.990343,22.520139,0.000000,0.893665,12.839503,88332041.42,3.798985e+12,,,29.2569,3025.8438,3020.9902,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_6144_96_4_1d_2.log,2026-09-25T08:30:47.654351-05:00,24 por nodo,,,,,,
matriz_Ethernet_7168_24_1_1d_2,matriz,Ethernet,7168,24,1,1d,2,ok,7.686269,1.341778,0.168448,1.302905,0.000000,6.381015,1.251319,120229724.49,6.032646e+12,,,9.3432,1.781,0.3499,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_7168_24_1_1d_2.log,2026-09-25T08:31:16.981530-05:00,24 por nodo,,,,,,
trapecio_Ethernet_100000000_96_4_asimetrico_2,trapecio,Ethernet,100000000,96,4,asimetrico,2,ok,0.001903,,,,,,,,,,,8.2634,1.773,0.6085,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_96_4_asimetrico_2.log,2026-09-25T08:31:26.424898-05:00,24 por nodo,0.000996,0.000872,0.000984,1.142,1.15e-14,3.14159265358978
trapecio_Ethernet_100000000000_96_4_asimetrico_2,trapecio,Ethernet,100000000000,96,4,asimetrico,2,ok,1.026163,,,,,,,,,,,3.9066,1.1033,0.4888,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_96_4_asimetrico_2.log,2026-09-25T08:31:34.694646-05:00,24 por nodo,1.026081,0.880812,0.056058,1.165,8.54e-13,3.14159265358894
matriz_Ethernet_7168_96_4_1d_2,matriz,Ethernet,7168,96,4,1d,2,ok,35.129908,33.244666,2.717303,30.936774,0.000000,1.817384,17.363087,120229724.49,6.032646e+12,,,39.1674,4113.9436,4111.2389,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_7168_96_4_1d_2.log,2026-09-25T08:31:38.607852-05:00,24 por nodo,,,,,,
